date,cases,deaths,new_cases,new_deaths
2019-11-27,0,0,0,0
2019-11-28,0,0,0,0
2019-11-29,0,0,0,0
2019-11-30,0,0,0,0
2019-12-01,0,0,0,0
2019-12-02,0,0,0,0
2019-12-03,0,0,0,0
2019-12-04,0,0,0,0
2019-12-05,0,0,0,0
2019-12-06,0,0,0,0
2019-12-07,0,0,0,0
2019-12-08,1,0,1,0
2019-12-09,1,0,0,0
2019-12-10,2,0,1,0
2019-12-11,2,0,0,0
2019-12-12,2,0,0,0
2019-12-13,3,0,1,0
2019-12-14,3,0,0,0
2019-12-15,5,0,2,0
2019-12-16,6,0,1,0
2019-12-17,7,0,1,0
2019-12-18,7,0,0,0
2019-12-19,9,0,2,0
2019-12-20,12,0,3,0
2019-12-21,15,0,3,0
2019-12-22,17,0,2,0
2019-12-23,20,0,3,0
2019-12-24,20,0,0,0
2019-12-25,23,0,3,0
2019-12-26,24,0,1,0
2019-12-27,26,0,2,0
2019-12-28,27,0,1,0
2019-12-29,33,0,6,0
2019-12-30,38,0,5,0
2019-12-31,40,0,2,0
2020-01-01,49,0,9,0
2020-01-02,56,0,7,0
2020-01-03,69,0,13,0
2020-01-04,82,0,13,0
2020-01-05,96,0,14,0
2020-01-06,113,0,17,0
2020-01-07,143,0,30,0
2020-01-08,186,0,43,0
2020-01-09,218,1,32,1
2020-01-10,251,1,33,0
2020-01-11,284,1,33,0
2020-01-12,314,1,30,0
2020-01-13,336,1,22,0
2020-01-14,359,1,23,0
2020-01-15,382,2,23,1
