date,new_cases_including,new_deaths_including,new_cases_hk,new_cases_tw,new_cases,new_deaths
2020-01-13,1,0,0,0,1,0
2020-01-14,0,0,0,0,0,0
2020-01-15,1,0,0,0,1,0
2020-01-16,0,0,0,0,0,0
2020-01-17,1,0,0,0,1,0
2020-01-18,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,1,0,0,0,1,0
2020-01-21,2,0,0,1,1,0
2020-01-22,3,0,0,0,3,0
2020-01-23,6,0,2,2,2,0
2020-01-24,15,0,3,0,12,0
2020-01-25,10,0,0,1,9,0
2020-01-26,16,0,3,1,12,0
2020-01-27,10,0,0,3,7,0
2020-01-28,18,0,0,0,18,0
2020-01-29,18,0,2,1,15,0
2020-01-30,23,0,2,1,20,0
2020-01-31,28,0,1,0,27,0
2020-02-01,15,1,1,0,14,1
2020-02-02,12,0,1,0,11,0
2020-02-03,4,0,0,1,3,0
2020-02-04,28,0,3,0,25,0
2020-02-05,29,0,3,5,21,0
2020-02-06,34,0,3,0,31,0
2020-02-07,50,0,2,1,47,0
2020-02-08,27,0,0,1,26,0
2020-02-09,27,0,10,0,17,0
2020-02-10,82,0,6,0,76,0
2020-02-11,15,0,7,0,8,0
2020-02-12,45,0,1,0,44,0
2020-02-13,62,1,3,0,59,1
2020-02-14,21,1,3,0,18,1
2020-02-15,83,1,0,2,81,0
2020-02-16,82,0,1,2,79,0
2020-02-17,115,0,3,0,112,0
2020-02-18,103,0,2,1,100,0
2020-02-19,125,0,3,1,121,0
2020-02-20,57,2,0,1,57,2
